metric,cpu,duracion,energia_rapl,potencia_rapl,energia_vampire,potencia_vampire,rendimiento_rel
cpu,1.0,0.31946925315063024,0.9106730061669971,0.914220886348522,0.927619708211942,0.9294959444257762,0.6398589846013484
duracion,0.31946925315063024,1.0,0.6046947965302826,0.5745831172414043,0.557280429889841,0.5089023170052909,0.7981624763559148
energia_rapl,0.9106730061669971,0.6046947965302826,1.0,0.9988402927438675,0.9948662954527515,0.9890659660679342,0.8936791829253562
potencia_rapl,0.914220886348522,0.5745831172414043,0.9988402927438675,1.0,0.9955884652343041,0.9928196188260257,0.8869817315973396
energia_vampire,0.927619708211942,0.557280429889841,0.9948662954527515,0.9955884652343041,1.0,0.9976924535587071,0.8729472709795246
potencia_vampire,0.9294959444257762,0.5089023170052909,0.9890659660679342,0.9928196188260257,0.9976924535587071,1.0,0.8600648300338295
rendimiento_rel,0.6398589846013484,0.7981624763559148,0.8936791829253562,0.8869817315973396,0.8729472709795246,0.8600648300338295,1.0
