benchmark,profile,cores,throughput,speedup,parallel_efficiency_percent,rapl_efficiency_relative,external_efficiency_relative
memory-stream-hpc,p1,1,10.01039462918741,1.0,100.0,1.0,1.0
memory-stream-hpc,p2,2,19.93249695971212,1.991179938260849,99.55899691304245,1.728335679110037,1.8234592703834553
memory-stream-hpc,p4,4,22.421835962858207,2.2398553497064575,55.996383742661436,1.7967955170157135,1.9513166779571338
memory-stream-hpc,p6,6,22.213975753523524,2.219090912635353,36.98484854392255,1.70607749136593,1.8791371437804747
memory-stream-hpc,p8,8,22.185991348698472,2.2162953780074317,27.703692225092897,1.6180162158124582,1.816856743952825
memory-stream-hpc,p12,12,22.297668997342907,2.2274515464484654,18.562096220403877,1.4742270392084296,1.7145750394339705
compute-dgemm-hpc,p1,1,0.6680578157629553,1.0,100.0,1.0,1.0
compute-dgemm-hpc,p2,2,1.3778142376745897,2.062417660814367,103.12088304071835,1.7921754881887213,1.9014920885476638
compute-dgemm-hpc,p4,4,2.4057963632118486,3.6011798776192885,90.02949694048222,2.745390778792878,3.06694842990702
compute-dgemm-hpc,p6,6,2.8560592985107784,4.27516785392147,71.25279756535784,3.009454506856621,3.4172753129093674
compute-dgemm-hpc,p8,8,3.2909416077967317,4.926132933626879,61.57666167033599,3.222261103747259,3.719637237885692
compute-dgemm-hpc,p12,12,4.023319948448223,6.022412811462121,50.186773428851005,3.564872420989103,4.1765707044988165
